Time,Temperature  (*C),Temperature  (*F),A-D  (1-255)
10/5/95 14:11,52.3,126.2,127
10/5/95 14:12,52.3,126.2,127
10/5/95 14:12,52.3,126.2,127
10/5/95 14:13,52.3,126.2,127
10/5/95 14:14,52.3,126.2,127
10/5/95 14:14,52.3,126.2,127
10/5/95 14:15,52.3,126.2,127
10/5/95 14:16,52.3,126.2,127
10/5/95 14:16,52.3,126.2,127
10/5/95 14:17,52.3,126.2,127
10/5/95 14:18,52.3,126.2,127
10/5/95 14:18,52.3,126.2,127
10/5/95 14:19,52.3,126.2,127
10/5/95 14:20,52.3,126.2,127
10/5/95 14:20,52.3,126.2,127
10/5/95 14:21,52.3,126.2,127
10/5/95 14:22,52.3,126.2,127
10/5/95 14:22,52.3,126.2,127
10/5/95 14:23,52.3,126.2,127
10/5/95 14:24,52.3,126.2,127
10/5/95 14:24,52.3,126.2,127
10/5/95 14:25,52.3,126.2,127
10/5/95 14:26,52.3,126.2,127
10/5/95 14:26,52.3,126.2,127
10/5/95 14:27,52.3,126.2,127
10/5/95 14:28,52.3,126.2,127
10/5/95 14:28,52.3,126.2,127
10/5/95 14:29,52.3,126.2,127
10/5/95 14:30,52.3,126.2,127
10/5/95 14:30,52.3,126.2,127
10/5/95 14:31,52.3,126.2,127
10/5/95 14:32,52.3,126.2,127
10/5/95 14:32,52.3,126.2,127
10/5/95 14:33,52.3,126.2,127
10/5/95 14:34,52.3,126.2,127
10/5/95 14:34,52.3,126.2,127
10/5/95 14:35,52.3,126.2,127
10/5/95 14:36,52.3,126.2,127
10/5/95 14:36,52.3,126.2,127
10/5/95 14:37,52.3,126.2,127
10/5/95 14:38,52.3,126.2,127
10/5/95 14:38,52.3,126.2,127
10/5/95 14:39,52.3,126.2,127
10/5/95 14:40,52.3,126.2,127
10/5/95 14:40,52.3,126.2,127
10/5/95 14:41,52.3,126.2,127
10/5/95 14:42,52.3,126.2,127
10/5/95 14:42,52.3,126.2,127
10/5/95 14:43,52.3,126.2,127
10/5/95 14:44,52.3,126.2,127
10/5/95 14:44,52.3,126.2,127
10/5/95 14:45,52.3,126.2,127
10/5/95 14:46,52.3,126.2,127
10/5/95 14:46,52.3,126.2,127
10/5/95 14:47,52.3,126.2,127
10/5/95 14:48,52.3,126.2,127
10/5/95 14:48,52.3,126.2,127
10/5/95 14:49,52.3,126.2,127
10/5/95 14:50,52.3,126.2,127
10/5/95 14:50,52.3,126.2,127
10/5/95 14:51,52.3,126.2,127
10/5/95 14:52,52.3,126.2,127
10/5/95 14:52,52.3,126.2,127
10/5/95 14:53,52.3,126.2,127
10/5/95 14:54,52.3,126.2,127
10/5/95 14:54,52.3,126.2,127
10/5/95 14:55,52.3,126.2,127
10/5/95 14:56,52.3,126.2,127
10/5/95 14:56,52.3,126.2,127
10/5/95 14:57,52.3,126.2,127
10/5/95 14:58,52.3,126.2,127
10/5/95 14:58,52.3,126.2,127
10/5/95 14:59,52.3,126.2,127
10/5/95 15:00,52.3,126.2,127
10/5/95 15:00,52.3,126.2,127
10/5/95 15:01,52.3,126.2,127
10/5/95 15:02,52.3,126.2,127
10/5/95 15:02,52.3,126.2,127
10/5/95 15:03,52.3,126.2,127
10/5/95 15:04,52.3,126.2,127
10/5/95 15:04,52.3,126.2,127
10/5/95 15:05,52.3,126.2,127
10/5/95 15:06,52.3,126.2,127
10/5/95 15:06,52.3,126.2,127
10/5/95 15:07,52.3,126.2,127
10/5/95 15:08,52.3,126.2,127
10/5/95 15:08,52.3,126.2,127
10/5/95 15:09,52.3,126.2,127
10/5/95 15:10,52.3,126.2,127
10/5/95 15:10,52.3,126.2,127
10/5/95 15:11,52.3,126.2,127
10/5/95 15:12,52.3,126.2,127
10/5/95 15:12,52.3,126.2,127
10/5/95 15:13,52.3,126.2,127
10/5/95 15:14,52.3,126.2,127
10/5/95 15:14,52.3,126.2,127
10/5/95 15:15,52.3,126.2,127
10/5/95 15:16,52.3,126.2,127
10/5/95 15:16,52.3,126.2,127
10/5/95 15:17,52.3,126.2,127
10/5/95 15:18,52.3,126.2,127
10/5/95 15:18,52.3,126.2,127
10/5/95 15:19,52.3,126.2,127
10/5/95 15:20,52.3,126.2,127
10/5/95 15:20,52.3,126.2,127
10/5/95 15:21,52.3,126.2,127
10/5/95 15:22,52.3,126.2,127
10/5/95 15:22,52.3,126.2,127
10/5/95 15:23,52.3,126.2,127
10/5/95 15:24,52.3,126.2,127
10/5/95 15:24,52.3,126.2,127
10/5/95 15:25,52.3,126.2,127
10/5/95 15:26,52.3,126.2,127
10/5/95 15:26,52.3,126.2,127
10/5/95 15:27,52.3,126.2,127
10/5/95 15:28,52.3,126.2,127
10/5/95 15:28,52.3,126.2,127
10/5/95 15:29,52.3,126.2,127
10/5/95 15:30,52.3,126.2,127
10/5/95 15:30,52.3,126.2,127
10/5/95 15:31,52.3,126.2,127
10/5/95 15:32,52.3,126.2,127
10/5/95 15:32,52.3,126.2,127
10/5/95 15:33,52.3,126.2,127
10/5/95 15:34,52.3,126.2,127
10/5/95 15:34,52.3,126.2,127
10/5/95 15:35,52.3,126.2,127
10/5/95 15:36,52.3,126.2,127
10/5/95 15:36,52.3,126.2,127
10/5/95 15:37,52.3,126.2,127
10/5/95 15:38,52.3,126.2,127
10/5/95 15:38,52.3,126.2,127
10/5/95 15:39,52.3,126.2,127
10/5/95 15:40,52.3,126.2,127
10/5/95 15:40,52.3,126.2,127
10/5/95 15:41,52.3,126.2,127
10/5/95 15:42,52.3,126.2,127
10/5/95 15:42,52.3,126.2,127
10/5/95 15:43,52.3,126.2,127
10/5/95 15:44,52.3,126.2,127
10/5/95 15:44,52.3,126.2,127
10/5/95 15:45,52.3,126.2,127
10/5/95 15:46,52.3,126.2,127
10/5/95 15:46,52.3,126.2,127
10/5/95 15:47,52.3,126.2,127
10/5/95 15:48,52.3,126.2,127
10/5/95 15:48,52.3,126.2,127
10/5/95 15:49,52.3,126.2,127
10/5/95 15:50,52.3,126.2,127
10/5/95 15:50,52.3,126.2,127
10/5/95 15:51,52.3,126.2,127
10/5/95 15:52,52.3,126.2,127
10/5/95 15:52,52.3,126.2,127
10/5/95 15:53,52.3,126.2,127
10/5/95 15:54,52.3,126.2,127
10/5/95 15:54,52.3,126.2,127
10/5/95 15:55,52.3,126.2,127
10/5/95 15:56,52.3,126.2,127
10/5/95 15:56,52.3,126.2,127
10/5/95 15:57,52.3,126.2,127
10/5/95 15:58,52.3,126.2,127
10/5/95 15:58,52.3,126.2,127
10/5/95 15:59,52.3,126.2,127
10/5/95 16:00,52.3,126.2,127
10/5/95 16:00,52.3,126.2,127
10/5/95 16:01,52.3,126.2,127
10/5/95 16:02,52.3,126.2,127
10/5/95 16:02,52.3,126.2,127
10/5/95 16:03,52.3,126.2,127
10/5/95 16:04,52.3,126.2,127
10/5/95 16:04,51.9,125.5,128
10/5/95 16:05,51.9,125.5,128
10/5/95 16:06,51.9,125.5,128
10/5/95 16:06,51.9,125.5,128
10/5/95 16:07,51.9,125.5,128
10/5/95 16:08,51.9,125.5,128
10/5/95 16:08,51.9,125.5,128
10/5/95 16:09,51.9,125.5,128
10/5/95 16:10,51.9,125.5,128
10/5/95 16:10,51.9,125.5,128
10/5/95 16:11,51.6,124.9,129
10/5/95 16:12,51.6,124.9,129
10/5/95 16:12,51.6,124.9,129
10/5/95 16:13,51.2,124.3,130
10/5/95 16:14,51.2,124.3,130
10/5/95 16:14,51.2,124.3,130
10/5/95 16:15,51.2,124.3,130
10/5/95 16:16,50.8,123.6,131
10/5/95 16:16,50.8,123.6,131
10/5/95 16:17,50.5,123,132
10/5/95 16:18,50.5,123,132
10/5/95 16:18,50.1,122.3,133
10/5/95 16:19,49.8,121.7,134
10/5/95 16:20,49.8,121.7,134
10/5/95 16:20,49.4,121.1,135
10/5/95 16:21,49.1,120.4,136
10/5/95 16:22,49.1,120.4,136
10/5/95 16:22,48.7,119.8,137
10/5/95 16:23,48.7,119.8,137
10/5/95 16:24,48.4,119.2,138
10/5/95 16:24,48,118.5,139
